timestamp,close_1h,volume_1h,close_4h,volume_4h,close_1d,volume_1d
2026-05-24 14:00:00,76428.2,12558.112,76343.7,24088.222,77030.3,91134.277
2026-05-24 15:00:00,76343.7,2743.36,76343.7,24088.222,77030.3,91134.277
2026-05-24 16:00:00,76645.1,4555.406,76738.5,9107.609,77030.3,91134.277
2026-05-24 17:00:00,76661.6,1846.578,76738.5,9107.609,77030.3,91134.277
2026-05-24 18:00:00,76632.4,1585.016,76738.5,9107.609,77030.3,91134.277
2026-05-24 19:00:00,76738.5,1120.609,76738.5,9107.609,77030.3,91134.277
2026-05-24 20:00:00,76639.1,1796.01,77030.3,20670.567,77030.3,91134.277
2026-05-24 21:00:00,76106.0,6222.431,77030.3,20670.567,77030.3,91134.277
2026-05-24 22:00:00,76771.2,8877.384,77030.3,20670.567,77030.3,91134.277
2026-05-24 23:00:00,77030.3,3774.742,77030.3,20670.567,77030.3,91134.277
2026-05-25 00:00:00,77120.0,3113.027,76989.0,14649.301,77281.5,76708.408
2026-05-25 01:00:00,76905.6,3940.46,76989.0,14649.301,77281.5,76708.408
2026-05-25 02:00:00,77064.1,5679.911,76989.0,14649.301,77281.5,76708.408
2026-05-25 03:00:00,76989.0,1915.903,76989.0,14649.301,77281.5,76708.408
2026-05-25 04:00:00,77357.0,3207.912,77377.0,14584.247,77281.5,76708.408
2026-05-25 05:00:00,77370.0,3238.872,77377.0,14584.247,77281.5,76708.408
2026-05-25 06:00:00,77386.1,5357.844,77377.0,14584.247,77281.5,76708.408
2026-05-25 07:00:00,77377.0,2779.619,77377.0,14584.247,77281.5,76708.408
2026-05-25 08:00:00,77422.3,2571.397,77318.2,13640.885,77281.5,76708.408
2026-05-25 09:00:00,77565.0,5700.73,77318.2,13640.885,77281.5,76708.408
2026-05-25 10:00:00,77500.0,2914.677,77318.2,13640.885,77281.5,76708.408
2026-05-25 11:00:00,77318.2,2454.081,77318.2,13640.885,77281.5,76708.408
2026-05-25 12:00:00,77325.7,2554.033,77587.2,15234.635,77281.5,76708.408
2026-05-25 13:00:00,77302.1,2190.977,77587.2,15234.635,77281.5,76708.408
2026-05-25 14:00:00,77676.4,5263.778,77587.2,15234.635,77281.5,76708.408
2026-05-25 15:00:00,77587.2,5225.847,77587.2,15234.635,77281.5,76708.408
2026-05-25 16:00:00,77694.5,2952.467,77403.3,9008.916,77281.5,76708.408
2026-05-25 17:00:00,77523.2,2774.683,77403.3,9008.916,77281.5,76708.408
2026-05-25 18:00:00,77511.7,1224.041,77403.3,9008.916,77281.5,76708.408
2026-05-25 19:00:00,77403.3,2057.725,77403.3,9008.916,77281.5,76708.408
2026-05-25 20:00:00,77243.7,2621.954,77281.5,9590.424,77281.5,76708.408
2026-05-25 21:00:00,77340.8,1674.347,77281.5,9590.424,77281.5,76708.408
2026-05-25 22:00:00,77084.7,3533.606,77281.5,9590.424,77281.5,76708.408
2026-05-25 23:00:00,77281.5,1760.517,77281.5,9590.424,77281.5,76708.408
2026-05-26 00:00:00,76750.1,7837.287,76629.0,18506.397,75905.5,164920.082
2026-05-26 01:00:00,76717.8,4014.825,76629.0,18506.397,75905.5,164920.082
2026-05-26 02:00:00,76630.7,3663.677,76629.0,18506.397,75905.5,164920.082
2026-05-26 03:00:00,76629.0,2990.608,76629.0,18506.397,75905.5,164920.082
